Doc_names,Specializations,Qualifications,Experiences,Reviews,Fees
Dr. Mohammad Nasrullah,Neurologist,"MBBS, FCPS",Year 14,190,2000
Dr. Ahmad Ali Hassan,Neurologist,"MBBS, MRCP",Year 10,190,3000
Dr. Khalid Jamil Akhtar,"Neurologist, Rehabilitation Specialist","MBBS, FCPS (Rehabilitation Medicine), DCN (Neurology), DRCP (London)",Year 10,213,3000
Dr. Syed Arsalan Haider,Neurologist,"MBBS, FCPS (Neurology)",Year 7,213,3000
Dr. Khawaja Muhammad Ali,Neurologist,"MBBS, FCPS (Neurology)",Year 7,213,3000
Dr. Muhammad Moosa,Neurologist,"M.B.B.S., F.C.P.S. (Neurology)",Year 6,687,3000
Dr. Naeem Ul Hassan Hattar,Neurologist,"M.B.B.S, MS (Neurosurgery)",Year 6,687,3000
Dr. Luqman Anwar,Neurologist,"MBBS, MD (USA), FCPS (Neurology)",Year 8,687,2000
Dr. Buland Akhtar Zaidi,Neurologist,"M.B.B.S, Diploma in Neurology, F.C.P.S",Year 8,77,2000
Dr. Syed Buland Akhtar,Neurologist,"MBBS (KE), DCN (Aus), FCPS (Neurology)",Year 10,77,2000
Dr. Sadaf Iftikhar,Neurologist,"MBBS, FCPS (Neurology)",Year 10,77,2000
Prof. Dr. Nadir Zafar Khan,Neurologist,"MBBS, MRCP, DCN",Year 30,1850,1500
Dr. Aftab Abbas,Neurologist,"MBBS, FCPS",Year 30,1850,1500
Dr. Muhammad Adnan Aslam,Neurologist,"MBBS, FCPS, Certification in Medical teaching",Year 8,1850,3500
Dr. Adnan Tariq Mahmood,Neurologist,"FCPS (Neurology), MBBS",Year 8,210,3500
Dr. Hamid Mukhtar Butt,Neurologist,"MBBS, FCPS (Neurology), M.D (Europe)",Year 7,210,3000
Dr. Naeem ul Hameed,Neurologist,"MBBS, FRCP",Year 7,210,3000
Dr. Moquit Usman,Neurologist,"MBBS, FCPS (Neuro)",Year 10,15,2000
Dr. Shahzad Yousaf,Neurologist,"MBBS, FAIS, CTEP, CTEEG",Year 10,15,2000
Dr. Ahmad Fawad,Neurologist,"MBBS, MRCP(Ireland), MRCP(UK), CCT",Year 28,15,2000
Prof Dr. Shandana Tariq,Neurologist,"F.C.P.S, M.B.,B.S",Year 28,113,2000
Dr. Mohsin Zaheer,Neurologist,"M.B.B.S, F.C.P.S (Neurology)",Year 7,113,4000
Dr. Ahsan Nauman,Neurologist,"MBBS, FCPS",Year 7,113,4000
Dr. Muhammad  Anwar,Neurologist,"MBBS, MS",Year 9,101,4000
Dr. M Bashir Ahmed Zahid,Neurologist,MBBS,Year 9,101,4000
Dr. Hafiz Abdul Majid,Neurologist,"MB BS, MCPS, FCPS",Year 18,101,3000
Dr. Mubasher Ahmed,Neurologist,"MBBS, FCPS, FRCS, FICS",Year 18,344,3000
Dr. Farrukh Javaid,Neurologist,MBBS,Year 34,344,2000
Dr. Hafiz Muhammad Shahzad Aziz,Neurologist,MBBS,Year 34,344,2000
Dr. Amjad Ali Bukhari,Neurologist,"MBBS, DAB",Year 26,3,2500
Dr. Muhammad Naeem,Neurologist,"MBBS, MRCP",Year 26,3,2500
Prof Dr. Muhammad Tariq Jamil Mian,Neurologist,,Year 15,3,3000
dr Adnan Hameed Gil,Neurologist,"MBBS, FCPS",Year 15,1392,3000
Dr. Ahmad Ali,Neurologist,"MBBS, MRCP",Year 10,1392,4000
Dr. Muhammad Moeen Ahmad,Neurologist,"MBBS, FCPS",Year 10,1392,4000
Dr. Tahir Islam Chaudhary,Neurologist,"MBBS, , MCPS, DTCD (T.B. & CHEST DISEASES)",Year 10,55,1500
Dr. Muhammad Shahid Hussain Sial,Neurologist,"MBBS, FCPS (Neurology)",Year 10,55,1500
Dr. Sarfaraz Hussain,Neurologist,MBBS,Year 25,55,2000
Dr. Samra Majeed,Neurologist,MBBS,Year 25,63,2000
