Doc_names,Specializations,Qualifications,Experiences,Reviews,Fees
Dr. Aleena Irteza Khan,"Cosmetologist, Dermatologist","M.B.B.S, M.C.P.S (Dermatology), M.D",Year 10,158,4000
Dr. Muhammad Haroon Mahmood,"Dermatologist, Cosmetologist","MBBS,  Diploma in Clinical Dermatology",Year 6,158,5000
Prof. Dr. Faria Asad,"Dermatologist, Cosmetologist","M.B.B.S, F.C.P.S",Year 6,951,5000
Dr. Marrium Manzoor,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S. (Dermatology)",Year 10,951,5000
Dr. Ayesha Rehman,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology)",Year 10,951,5000
Dr. Amber Bashir,"Dermatologist, Aesthetic Physician","M.B.B.S, Diploma in Cosmetic Medicine, M.C.P.S",Year 10,1165,3000
Dr. Shadia Amir,"Dermatologist, Aesthetic Physician","M.B.B.S, M.C.P.S (Dermatology), D-Derm (UK), Diplomate American Academy Of Aesthetic Medicine (AAAM)",Year 10,1165,3000
Dr. Samina Kausar,"Dermatologist, Laser Specialist, Cosmetologist","MBBS, MCPS (Dermatologist)",Year 12,1165,3000
Dr. Amina Afzal,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology), MD (Dermatology)",Year 12,905,3000
Dr. Nuzha Niazi,"Dermatologist, Aesthetic Physician","M.B.B.S, F.C.P.S. (Dermatology), Certified in American Academy of Aesthetic Medicine",Year 17,905,1200
Dr. Areej Adeel,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S. (Dermatology)",Year 17,905,1200
Dr. Sadia Mohsin,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 9,1199,3000
Dr. Ali Kazmi,"Dermatologist, Cosmetologist","M.B.B.S., Dip. Derm. From UK London",Year 9,1199,3000
Dr. Faryal Ather,"Cosmetologist, Dermatologist","M.B.B.S, D.Derm (UK)",Year 12,1199,1000
Dr. Shumaila Waqas,"Dermatologist, Cosmetologist","MBBS, MCPS",Year 12,50,1000
Lt. Col. (R). Prof. Dr. Habib ur Rehman,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S. (Dermatology), M.C.P.S, M.Phil, Fellow American Academy Of Dermatology, Fellowship Johns Hopkins Hospital MD",Year 21,50,2500
Dr. Khadija Kiran,"Aesthetic Physician, Laser Specialist, Cosmetologist, Dermatologist","M.B.B.S, M.C.P.S (Dermatology), American Board Certified in Aesthetic Medicine",Year 21,50,2500
Dr. Huma Saleem,"Dermatologist, Cosmetologist","M.B.B.S., Board Certified Aesthetic Physician, F.C.P.S. (Dermatology)",Year 6,677,1000
Dr. Sehrish Ashraf,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S. (Dermatology)",Year 6,677,1000
Dr. Farwa Nasir Khan,"Dermatologist, Cosmetologist","M.B.B.S, F.C.P.S (Dermatology)",Year 35,677,2000
Dr. Farzana Faiz,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 35,153,2000
Dr. Eram Razzaq,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology)",Year 20,153,1500
Dr. Muhammad Anees,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 20,153,1500
Dr. Sheeza Ali,"Dermatologist, Aesthetic Physician, Cosmetologist","MBBS (Gold Medalist), MCPS (Dermatology), Certified in Aesthetics by American board of aesthetic Medicine(ABAM)",Year 6,864,2500
Dr. Saamira Farid,"Dermatologist, Cosmetologist","M.B.B.S , M.C.P.S (Dermatology)",Year 6,864,2500
Dr. Maryam Rafat,"Dermatologist, Aesthetic Physician","MBBS, MCPS ( Dermatology), MD (Dermatology), Certificate of Medical Education",Year 15,864,2000
Dr. Asim Suhail,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology), AACME (USA), Professional Diploma in Facial Aesthetic (USA)",Year 15,76,2000
Dr. Rabia Noor,"Dermatologist, Aesthetic Physician","M.B.B.S., Medical Aesthetics Diploma",Year 10,76,2000
Dr. Attiqua Akbar,"Dermatologist, Aesthetic Physician, Cosmetologist","M.B.B.S , Dip. In Dermatology",Year 10,76,2000
Dr. Bushra Hassan,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 30,22,1800
Dr. Asim Ali Hyder,Dermatologist,"MBBS, Dip. in Dermatology, PGD",Year 30,22,1800
Dr. Samra Sadaf,"Dermatologist, Cosmetologist","M.B.B.S , M.C.P.S. (Dermatology)",Year 5,22,2500
Prof. Dr. Tariq Zaman,"Dermatologist, Cosmetologist","M.B.B.S., M.C.P.S (Dermatology), F.C.P.S. (Dermatology)",Year 5,223,2500
Assist. Prof. Dr. Sana Younas,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S.",Year 15,223,2500
Prof. Dr. Nadia Ali Azfar,"Dermatologist, Cosmetologist","M.B.B.S, F.C.P.S. (Dermatology)",Year 15,223,2500
Dr. Zartaj Liaqat,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S. (Dermatology)",Year 16,882,1000
Dr. Mahwish Javed,"Dermatologist, Laser Specialist, Cosmetologist","M.B.B.S., F.C.P.S (Dermatology), MRCP1 (UK)",Year 16,882,1000
Dr. Tariq Niaz Butt,"Dermatologist, Laser Specialist, Cosmetologist","MBBS, MSc (Clinical Dermatology), Dip. Derm (UK)",Year 18,882,2000
Dr. Sommiya Anum,"Cosmetologist, Laser Specialist, Dermatologist","MBBS, FCPS (Dermatology)",Year 18,75,2000
Dr. Mehvish Hassan,"Dermatologist, Laser Specialist, Cosmetologist","M.B.B.S, Dip. In Dermatology (D-Derm) (UK)",Year 32,75,2500
Assist. Prof. Dr. Zahida Perveen,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 32,75,2500
Dr. Munazza Nasir,"Dermatologist, Aesthetic Physician, Cosmetologist","M.B.B.S, M.C.P.S (Derma), A.A.A.M.",Year 15,841,3000
Dr. Ahmed Kazmi,"Dermatologist, Cosmetologist","MBBS, MD Dermatology",Year 15,841,3000
Dr. Mansoor Haider,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 10,841,2000
Dr. Sehrish Khalid,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 10,419,2000
Dr. Humaira Shamim,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology), CHPE, AAAM",Year 9,419,3000
Dr. Saleha Zeeshan,"Dermatologist, Aesthetic Physician, Laser Specialist, Cosmetologist","M.B.B.S, M.C.P.S (Dermatology),  Certified Aesthetic Medicine (USA)",Year 9,419,3000
Assist. Prof. Dr. Sameera Iqbal,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S. (Dermatology)",Year 10,376,1000
Dr. Sidra Aziz,"Dermatologist, Cosmetologist","M.B.B.S, F.C.P.S (Dermatology)",Year 10,376,1000
Dr. Noor Fatima,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology), CPD Certified Aesthetic Consultant",Year 13,376,2500
Dr. Amir Ali Noor,"Dermatologist, Cosmetologist","M.B.B.S, M.Sc (Dermatology)",Year 13,15,2500
Dr. Kiran Irfan,"Dermatologist, Cosmetologist","MBBS, MD (Dermatology)",Year 7,15,1300
Dr. Sarmad Malik,"Dermatologist, Cosmetologist","M.B.B.S., M.C.P.S (Dermatology)",Year 7,15,1300
Dr. Maria Azad,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology), MRCP (UK), SCE (Dermatology) UK",Year 25,1478,3500
Dr. Asma Nasir,"Dermatologist, Cosmetologist","MBBS, MRCP (UK), FCPS (Dermatology)",Year 25,1478,3500
Dr. Meraj Saadat,"Dermatologist, Cosmetologist","MBBS, Dip in Dermatology",Year 9,1478,4000
Dr. Zara Leghari,"Aesthetic Physician, Dermatologist","M.B.B.S, Diploma in Aesthetic Medicine (USA), Dip in Dermatology (UK)",Year 9,391,4000
Dr. Uzma Ahsan,Dermatologist,"MBBS, FCPS",Year 23,391,4000
Dr. Hafiz Muhammad Idrees Akhtar,"Dermatologist, Cosmetologist","MBBS, PG. Dip Dermatology (UK), DHP. DHCP( UK)., MBA Healthcare Services (UK)",Year 23,391,4000
Dr. Azfreen Imtiaz,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology)",Year 7,133,2000
Dr. Burhan Ashraf,"Dermatologist, Cosmetologist, Hair Transplant Surgeon","MBBS, FCPS (Dermatologist), M.R.C.P (U.K), Diplomate of American Board Hair Restoration Surgeons, MRCP (LONDON), MRCPE (EDINBURGH), MRCP ( GLASGOW)",Year 7,133,2000
Dr. Aqsa Zubair Awan,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S. (Dermatology)",Year 20,133,3000
Dr. Naghmana Hameed,Dermatologist,MBBS,Year 20,1379,3000
Dr.  Shahid Nazeer,"Dermatologist, Cosmetologist","MBBS, Dip Derm",Year 21,1379,3000
Assist. Prof. Dr. Saima Ilyas,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 21,1379,3000
Dr. Asmaa Batool Ramay,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S.",Year 17,1151,3000
Dr. Shagufta Shafi,"Cosmetologist, Laser Specialist, Dermatologist","MBBS, Dip in Dermatology",Year 17,1151,3000
Dr. Saima Shahid Khan,"Dermatologist, Cosmetologist","M.B.B.S., M.D. (Dermatology)",Year 10,1151,1000
Dr. Afshan Ahmad,"Dermatologist, Cosmetologist","M.B.B.S, F.C.P.S (Dermatology)",Year 10,265,1000
Dr. M. Awais Khan,"Dermatologist, Cosmetologist","MBBS, MCPS",Year 15,265,1000
Dr. Sana Naz,"Dermatologist, Cosmetologist","MBBS, PGD in Dermatology (UK), MSc (Dermatology)",Year 15,265,1000
Dr. Ali Hasnain,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology)",Year 11,6,2000
Dr. Ishrat Shah Syed,"Dermatologist, Cosmetologist, Aesthetic Medicine Specialist","MBBS, MCPS (Dermatology)",Year 11,6,2000
Dr. Ummara Rafique Lodhi,"Dermatologist, Cosmetologist","M.B.B.S, M.C.P.S (Dermatology)",Year 35,6,2000
Dr. Sobia Khakwani,"Dermatologist, Cosmetologist","M.B.B.S, M.C.P.S (Dermatology)",Year 35,61,2000
Prof. Dr. Mansoor Dilnawaz,Dermatologist,"MBBS,  FCPS(Dermatology), FRCP(Glasg), MCPS-HPE(CPSP), MRCP, RCP London’s Accredited Educator, ECDL(UK)",Year 13,61,2000
Dr. Nabeel Asghar Chaudhry,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology), Diplomat American Board Of Aesthetic Medicines (USA), OJT Cosmetic Dermatology (London)",Year 13,61,2000
Dr. Muhammad Awais Arif,"Dermatologist, Laser Specialist, Cosmetologist","M.B.B.S, Master of Science in Public Health, Diploma in Dermatology and Dermatosurgery, Fellowship Training in Cutaneous and Laser Surgery, Diplomate American Board of Laser Surgery",Year 15,872,2000
Dr. Shaiqa Ali,"Dermatologist, Cosmetologist","MBBS, M.D (Dermatology), MCPS (Dermatology)",Year 15,872,2000
Dr. Samra Rafique,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 30,872,3500
Dr. Sadaf Khuram Shah,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology)",Year 30,484,3500
Dr. Syed Ahmed Ali Gardezi,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 10,484,3000
Dr. Umer Mushtaq,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology), CAAAM (USA)",Year 10,484,3000
Dr. Muhammad Abaidullah,"Dermatologist, Cosmetologist","M.B.B.S, F.C.P.S (Derma)",Year 15,678,2000
Dr. Areesha Fatima,"Dermatologist, Cosmetologist","M.B.B.S, F.C.P.S. (Dermatology)",Year 15,678,2000
Dr. Ramla Kazi,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology), Doctor Of Medicine (Dermatology)",Year 10,678,3000
Dr. Fouzia Khalid Janjua,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology), M.D",Year 10,240,3000
Dr. Mehvish Naeem,"Dermatologist, Aesthetic Medicine Specialist","M.B.B.S.	, Dip. in Dermatology, Dip. in  Aesthetics Medicine",Year 9,240,4000
Dr. Benish Safdar,"Dermatologist, Cosmetologist","M.B.B.S, F.C.P.S. (Dermatology)",Year 9,240,4000
Dr. Aisha Malik,"Dermatologist, Cosmetologist","M.B.B.S, F.C.P.S (Dermatology), M.C.P.S. (Dermatology)",Year 17,332,3000
Assist. Prof. Dr. Zafar Ullah Khan,"Dermatologist, Cosmetologist","MBBS, FCPS, CAAAM",Year 17,332,3000
Dr. Eima Shaheen,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 12,332,3000
Dr. Hina Manzoor,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S. (Dermatology)",Year 12,4,3000
Dr. Rabia Hayat,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S.",Year 10,4,2000
Dr. Amna Rasul,"Dermatologist, Cosmetologist","M.B.B.S.,  F.C.P.S.",Year 10,4,2000
Dr. Haseeb Sajjad,Dermatologist,"M.B.B.S, Dip. Dermatology (UK), M.Sc from UK",Year 10,29,2000
Dr. M. Tauqir Ahmad,"Cosmetologist, Dermatologist","MBBS, MBCAM",Year 10,29,2000
Dr. Muhammad Baset Ghafoor,"Cosmetologist, Dermatologist","MBBS, MCPS (Dermatology), MD (Dermatology)",Year 15,29,3500
Dr. Sana Sheraz Javaid,"Dermatologist, Cosmetologist","M.B.B.S., PGDip. In Dermatology (UK)",Year 15,130,3500
Dr. Zarqa Taimur,Dermatologist,"MBBS, FCPS, MRCP, FFOM, Dip in Derm",Year 22,130,3500
Dr. Rabia Ahmad,"Dermatologist, Cosmetologist","M.B.B.S, F.C.P.S. (Dermatology)",Year 22,130,3500
Dr. Kamran Khan,"Dermatologist, Cosmetologist","M.B.B.S, M.C.P.S (Dermatology), MSc Cosmetic Medicine",Year 17,152,3000
Dr. Momina Zaheer,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology)",Year 17,152,3000
Dr. Sadaf Amin,"Dermatologist, Laser Specialist, Cosmetologist","M.B.B.S, F.C.P.S (Derma)",Year 2,152,2500
Dr. Naila Tabassum,"Dermatologist, Aesthetic Physician","M.B.B.S, F.C.P.S",Year 2,1086,2500
Assist. Prof. Dr. Mahwish Zahoor,"Dermatologist, Cosmetologist","M.B.B.S., M.D (Dermatology), MCPS (Dermatology)",Year 14,1086,3000
Dr. Bushra Mehmood,"Dermatologist, Laser Specialist, Cosmetologist","MBBS, FCPS (Dermatology), Dip in Dermatology",Year 14,1086,3000
Dr. Madiha Zulfiqar,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 10,512,2500
Dr. Saira Younas,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology)",Year 10,512,2500
Dr. Inayat Ali Khan,Dermatologist,"MBBS, MCPS",Year 28,512,2500
Dr. Sadia Qayyum,Dermatologist,"M.B.B.S, F.C.P.S (Dermatology)",Year 28,967,2500
Dr. Kokab Shahab,"Aesthetic Medicine Specialist, Cosmetologist, Dermatologist","MBBS, MD",Year 5,967,3000
Dr. Muhammad Awais,Dermatologist,"MBBS, MCPS",Year 5,967,3000
Prof. Dr. Attiya Mahboob,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology), MCPS (Dermatology)",Year 40,481,2500
Dr. Sadia Naeem,"Dermatologist, Cosmetologist","M.B.B.S, M.C.P.S.",Year 40,481,2500
Dr. Mazhar Masood,Dermatologist,"MBBS, D-Derm, BSC",Year 10,481,3000
Dr. Malik Qasim,Dermatologist,"MBBS, D.Derm",Year 10,641,3000
Dr. Muhmmad Waseem,Dermatologist,"MBBS, FCPS",Year 25,641,2500
Dr. Luqman Ahmad,Dermatologist,"MBBS, FCPS",Year 25,641,2500
Dr. Umair Mansoor Bajwa,Dermatologist,"MBBS, Diploma in Dermatology",Year 13,818,2500
Dr. Arif Raheem,Dermatologist,"F.C.P.S, M.B.B.S.",Year 13,818,2500
Dr. Farhana Muzaffar,"Cosmetologist, Dermatologist","MBBS, FCPS (Derm.)",Year 10,818,3000
Prof. Dr. Haroon Nabi,"Cosmetologist, Dermatologist, Hair Transplant Surgeon","MBBS, FCPS (Dermatology)",Year 10,59,3000
Dr. Humaira Aamir,Dermatologist,M.B.B.S.,Year 15,59,2500
Dr. Jamshed Butt,Dermatologist,"M.B.B.S., DDM (UK)",Year 15,59,2500
Prof. Dr. Khawar Khurshid,"Dermatologist, Cosmetologist","MBBS, MCPS,  FCPS (Derma)",Year 9,135,1000
Dr. Khawar Nazir,"Dermatologist, Hair Transplant Surgeon, Laser Specialist","MBBS, MS Dermatology",Year 9,135,1000
Lt. Col. Dr. Amir Manzur,Dermatologist,"F.C.P.S, M.B.B.S.",Year 10,135,1500
Dr. Manzoor ul Qayyum,Dermatologist,"M.B.B.S, M.C.P.S.",Year 10,395,1500
Dr. Muhammad Jahangir,"Dermatologist, Cosmetologist","MBBS, MCPS (Derma), MD (Medicine)",Year 12,395,2000
Dr. Muhammad Luqman Ahmed,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 12,395,2000
Dr. Sadia Ammad,Dermatologist,"M.B.,B.S, M.Sc, DIP.IN D.Sci",Year 15,65,3000
Dr. Tariq Asif,Dermatologist,"MBBS, DDM (London)",Year 15,65,3000
Dr. Sara Israr,Dermatologist,"MCPS, M.Sc (UK)",Year 15,65,3000
Prof. Dr. Ijaz Hussain,"Dermatologist, Cosmetologist","MBBS, FCPS (Derma)",Year 15,1892,3000
Assoc. Prof. Dr. Safoora Aamir,"Dermatologist, Laser Specialist, Cosmetologist","MBBS, FCPS (Derma)",Year 34,1892,3000
Dr. Sumaira Taj,Dermatologist,"MBBS, FCPS",Year 34,1892,3000
Prof. Dr. Syed Atif Hasnain Kazmi,"Dermatologist, Laser Specialist, Cosmetologist","MBBS, BSc, MCPS, MD",Year 6,150,3000
Prof. Dr. Shahbaz Aman,"Dermatologist, Cosmetologist","MBBS, MCPS, FCPS (Derma)",Year 6,150,3000
Prof. Dr.  M. Saleem Khan,"Dermatologist, Laser Specialist, Cosmetologist","MBBS, MCPS (Dermatology)",Year 12,150,1500
Prof. Dr. Sabrina Suhail Pal,"Dermatologist, Cosmetologist","MBBS, MCPS, FCPS (Derma)",Year 12,818,1500
Dr. Zahida Rani,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 5,818,1500
Dr. Shahzana Naqqash (on leave),Dermatologist,"F.C.P.S, M.B.,B.S, M.C.P.S",Year 5,818,1500
Dr. Atif Shehzad,Dermatologist,"MBBS, FCPS",Year 15,1070,4000
Dr. Raafia,Dermatologist,"MBBS, FCPS",Year 15,1070,4000
Dr. Farid-Ur-Rehman,Dermatologist,"MBBS, FCPS",Year 5,1070,3000
Dr. Kiran Rashid,Dermatologist,DCPS,Year 5,420,3000
Dr. Muhammad Uzair,Dermatologist,"MBBS, FCPS",Year 5,420,1500
Dr. Madiha Sanai,Dermatologist,"MBBS, Dip-Derm, MCPS, MD (Dermatology)",Year 5,420,1500
Dr.  Saba Rais,Dermatologist,"MBBS, MCPS",Year 7,571,2000
Dr. Zahida Rana,Dermatologist,MBBS,Year 7,571,2000
Dr. Iftikhar Shaikh,Dermatologist,"MBBS, Dip. Derm",Year 8,571,2000
Dr. Farah Aamir,Dermatologist,"MBBS, Dip. in Derm.",Year 8,136,2000
Dr. Rafi Saeed,Dermatologist,"MBBS, Dip in Der",Year 12,136,1000
Dr. Rabia Ahsen,Dermatologist,"MBBS, MCPS, DFO",Year 12,136,1000
Dr. Ammara Lodhi,Dermatologist,"MBBS, MCPS",Year 12,415,3000
Dr. Beena Kanwal,Dermatologist,MBBS,Year 12,415,3000
Dr. Ikram Niazi,Dermatologist,"MBBS, RMP, FCPS",Year 9,415,3000
Dr. Rehana Gul,Dermatologist,MBBS,Year 9,49,3000
Dr. Zulfiqar Saleem,Dermatologist,MBBS,Year 20,49,2000
Dr. Sumera Ahmad,Dermatologist,MBBS,Year 20,49,2000
Dr. Shafqat Mahmood,Dermatologist,"MBBS, FCPS",Year 10,73,2000
Dr. Tayyaba Iqbal,Dermatologist,"MBBS, FCPS",Year 10,73,2000
Dr. Pareesa Naeem,Dermatologist,MBBS,Year 5,73,2000
Dr. Zahid Shahzad,Dermatologist,"MBBS, MD, MCPS",Year 5,227,2000
Dr. Ahmad Kazmi,Dermatologist,MBBS,Year 20,227,3000
Dr. Nadeem Ahmad Qureshi,"Dermatologist, Sexologist, Male Sexual Health Specialist","MBBS, MCPS",Year 20,227,3000
Dr. Nadeem Mahmood,Dermatologist,"MBBS, MCPS",Year 23,197,3000
Dr. Samina Naz,Dermatologist,"MBBS, Dip In Derm",Year 23,197,3000
Dr. Danish Abbas Kazmi,Dermatologist,"MBBS, MRCP",Year 11,197,2000
Dr. Aisha Zafar,Dermatologist,"MBBS, D..Derm,  MS in Derm.",Year 11,8,2000
