Doc_names,Specializations,Qualifications,Experiences,Reviews,Fees
Dr. Zeeshan Ahmad Wains,"Urologist, Pediatric Urologist, Andrologist, Sexologist","MBBS, FCPS (Urology)",Year 37,4387,2000
Prof. Dr. Khizar Hayat Gondal,"Urologist, Andrologist","MBBS, FCPS (Urology), Training Laparoscopic Surgery",Year 37,1144,2000
Dr. Muhammad Muzammil Tahir,"Urologist, Andrologist, Male Sexual Health Specialist","MBBS, FCPS (Urology)",Year 9,1144,3000
Assist. Prof. Sajid Iqbal,Urologist,"MBBS, MS (Urology)",Year 9,1144,3000
Dr. Azme Hussain Shah,"Urologist, Andrologist, Kidney Transplant Surgeon","MBBS, FRCS (UK), FACS (USA)",Year 12,176,1500
Prof. Dr. Muhammad Saleem Akhtar,Urologist,"MBBS, MS (Urology)",Year 12,176,1500
Dr. Muhammad Yahya Hasan,Urologist,"MBBS, MS (Urology)",Year 33,176,2500
Dr. Nauman Ahmed,"Urologist, Male Sexual Health Specialist, Sexologist","MBBS, MS (Urology)",Year 33,306,2500
Dr. Usama Ahmad,Urologist,"MBBS, FCPS (Urology)",Year 9,306,1000
Dr. Tariq Mahmood,"Urologist, Male Sexual Health Specialist","M.B.B.S, F.C.P.S (Urology), M.C.P.S",Year 9,306,1000
Dr. Asad Jalil Ul Isalam,Urologist,"MBBS, MS (Urology)",Year 11,203,3000
Dr. Faisal Tasleem,Urologist,"FRCS , MBBS",Year 11,203,3000
Dr. Umair Afzal,Urologist,"MBBS, FCPS (Urology)",Year 40,203,2000
Dr. Najam Ul Saqib,Urologist,"MBBS, MS (Urology)",Year 40,630,2000
Prof. Dr. Junaid Habib Khan,"Urologist, Male Sexual Health Specialist, Sexologist","M.B.B.S, MS (Urology)",Year 7,630,3000
Dr. Faisal Ahmed Zaeem,"Urologist, Male Sexual Health Specialist, Uro-Oncologist","M.B.B.S., M.D, MS (Urology)",Year 7,630,3000
Prof. Dr. Muhammad Haroon Ghous,"Urologist, Andrologist, Uro-Oncologist, Sexologist","M.B.,B.S, F.R.C.S (Urology), F.R.C.S (Edinburgh)",Year 14,407,2000
Dr. Farooq Malik,"Urologist, Sexologist","M.S (Urology), M.D.",Year 14,407,2000
Dr. Shah Jahan Ur Rehman,Urologist,"MBBS, MS (Urology)",Year 9,407,3000
Dr. Zubair Ahmad Cheema,Urologist,"M.B.B.S, F.R.C.S. (Urology)",Year 9,215,3000
Dr. Sabeeh Ubaid Ullah,"Urologist, Andrologist, Sexologist","M.B.B.S, F.C.P.S (Urology)",Year 15,215,1500
Assist. Prof. Dr. Amjad Ali Siddiqui,"Urologist, Andrologist, Male Sexual Health Specialist, Sexologist","MBBS, MRCS, FRCS, Fellowship in Oncoplastic & Reconstructive Breast Surgery",Year 15,215,1500
Dr. Jamil Rahim,Urologist,"MBBS, FCPS",Year 9,811,5000
Dr. Faisal Masoud,Urologist,"MBBS, MS (Urology)",Year 9,811,5000
Dr. Ali Shandar Durrani,Urologist,"M.B.B.S., F.C.P.S.",Year 15,811,5000
Dr. Munir Amin Mughal,"Urologist, Kidney Transplant Surgeon","M.B.B.S., F.R.C.S., Dip. in Urology",Year 15,22,5000
Prof. Dr. Muhammad Nazir,"Urologist, Andrologist, Male Sexual Health Specialist, Sexologist","MBBS (K.E.), FCPS (Urology), MD (USA), FICS (USA)",Year 10,22,3500
Dr. Safdar Khan,Urologist,"MBBS, FRCS",Year 10,22,3500
Assoc. Prof. Dr. M. Asif Baloch,"Urologist, Sexologist, Kidney Transplant Surgeon, Andrologist","MBBS, FCPS",Year 7,431,3500
Dr. Saleem Shahzad Malik,"Urologist, Andrologist, Sexologist","M.B.B.S., F.C.P.S.",Year 7,431,3500
Dr. Kamran Zaidi,Urologist,"MBBS, MS (Urology) (Gold Medalist)",Year 10,431,3000
Dr. Ammar Yousuf,Urologist,"MBBS, FCPS (Urology)",Year 10,736,3000
Prof. Dr. Manzoor Ahmad Malik,"Urologist, Sexologist","M.B.B.S., F.C.P.S.",Year 42,736,3000
Dr. Mian Mohammad Sajid,Urologist,"MBBS, Specialized TRG in Medicine Urology",Year 42,736,3000
Dr. Majed Saeed,"Urologist, Andrologist","M.B.B.S, F.C.P.S (Urology)",Year 30,469,3000
Assist. Prof. Dr. Shah Jahan Khan,Urologist,"MBBS, MS (Urology)",Year 30,469,3000
Dr. Farooq Hameed,"Urologist, Laser Specialist, Endoscopic Surgeon","MBBS, MS (Urology)",Year 20,469,3000
Associate. Prof. Dr. Hassan Raza Asghar,"Urologist, Sexologist","MBBS, FCPS (Urology)",Year 20,2315,3000
Dr. Ammad Ahmad Siddiqui,"Urologist, Andrologist, Sexologist","MBBS, MS (Urology)",Year 20,2315,3000
Dr. Abid Abbas,"Urologist, Andrologist, Sexologist","M.B.B.S, F.C.P.S. (Urology)",Year 20,2315,3000
Assist. Prof. Dr. Athar Mahmood,Urologist,"M.B.B.S., M.C.P.S, F.C.P.S. (Urology)",Year 9,20,1500
Dr. Zia Ul Haque,"Urologist, Male Sexual Health Specialist","M.B.B.S , MS (Urology)",Year 9,20,1500
Dr. Elahi Bakhsh,Urologist,"M.B.B.S, F.C.P.S. (Urology)",Year 12,20,2500
Dr. Tahir Mehmood Awan,"Urologist, Kidney Transplant Surgeon, Sexologist","M.D., F.C.P.S (Urology)",Year 12,884,2500
Dr. Muhammad Moin Arshad,Urologist,"M.B.B.S, F.C.P.S. (Urology)",Year 30,884,2500
Prof. Dr. Muhammad Shahzad Anwar,"Urologist, Sexologist","MBBS, MHPE, FCPS (Urology)",Year 30,884,2500
Dr. Asad Ali Shah,Urologist,"MBBS,MSN, CMT",Year 32,861,3500
Assist. Prof. Dr. Ijaz Ahmad Kharal,"Urologist, Sexologist, Male Sexual Health Specialist","MBBS, MS (Urology), FICS",Year 32,861,3500
Dr. Rizwan Hussain,Urologist,"MBBS, FCPS",Year 10,861,1500
Dr. Muhammad Shan,Urologist,"MBBS, FCPS (Urology)",Year 10,394,1500
Prof. Dr. Naveed Iqbal,"Urologist, Male Sexual Health Specialist, Kidney Transplant Surgeon, Sexologist","M.B.B.S, F.C.P.S",Year 32,394,2000
Prof. Dr. Zahid Hussain,Urologist,"MBBS, FCPS, FACS",Year 32,394,2000
Prof. Dr. Muhammad Khalid Butt,Urologist,"M.B.B.S, M.S (Urology)",Year 34,70,2000
Prof. Dr. Khaleeq ur Rehman,"Urologist, Andrologist","MBBS, M.S (Urology), FECSM, Fellow Urology",Year 34,70,2000
Prof. Dr. Abdul Mannan,Urologist,"MBBS, M.S. (Urology)",Year 10,70,1500
Dr. Humayoun Saeed,Urologist,"MBBS, FCPS",Year 10,900,1500
Prof. Dr. Zia Ul Miraj Ahmad,"Pediatric Urologist, Urologist","MBBS, FRCS (Edinburgh), DCH (Glasgow), Dip. Peads Surgery (London), DU (London), MME (Med)",Year 18,900,3000
Dr. Ahmed Salman Waris,"Urologist, Sexologist","MBBS, MS (SUrgery)",Year 18,900,3000
Dr. Mohammad Nawaz Chughtai,"Nephrologist, Urologist","MBBS,MS, FICS",Year 8,127,2000
Dr. Shoukat Zubair,Urologist,"M.B.B.S, FRCS, DU, FICS",Year 8,127,2000
Dr. Khalid Javed Rabbani,Urologist,"MBBS, F.R.C.S.",Year 13,127,3000
Dr. Tahir Iqbal,Urologist,"MBBS, M.S (Urology)",Year 13,246,3000
Dr. Abdul Rab,Urologist,Sernior Medical Officer (SMO) (Urology),Year 40,246,2000
Prof Dr. Zafar Ul Ahsan,Urologist,"MBBS, FRCS (Surgery), Dip. Urology (London), FRCS Urology, FEBU",Year 40,246,2000
Dr. Muhammad Younis,Urologist,"MBBS, FCPS (urology)",Year 22,1813,2000
Dr. Muhammad Rafiq Zaki,"Urologist, Andrologist","MBBS, MS (PB), FCPS",Year 22,1813,2000
Dr. Muhammed Naeem,Urologist,"MBBS, MRCS, MS (UROLOGY)",Year 14,1813,2000
Dr. Qazi Javeed Iqbal,Urologist,"MBBS, D.T.C.D., MS (Urology)",Year 14,34,2000
Dr. Mujahid Hussain,Urologist,"MBBS, FCPS-I",Year 8,34,4000
Dr. Asif Shahzad,Urologist,"MBBS, FCPS",Year 8,34,4000
Dr. Muhammad Osman Khan,Urologist,,Year 38,172,4000
Dr. Suleman Waris,Urologist,,Year 38,172,4000
Dr. Hameed Tajammul,Urologist,,Year 19,172,1300
Prof. Dr. Saleem Abbas Jafri,Urologist,"MBBS, FICS, MS (Urology)",Year 19,13,1300
Prof. Dr. Fateh Khan Akhtar,Urologist,"MBBS, FRCS (Urology)",Year 25,13,2800
Dr. Shahzad Ashraf,"Kidney Transplant Surgeon, Urologist","MBBS, FCPS",Year 25,13,2800
Dr. Shaukat Zubair,Urologist,"MBBS, FRCS",Year 15,630,2000
Dr. Muhammad Ayub,Urologist,"MBBS, MS",Year 15,630,2000
Dr. Nisar Ahmed Saeedi,Urologist,"MBBS, FCPS",Year 25,630,3000
Dr. Fazal Ur Rahman,Urologist,"MBBS, FCPS",Year 25,212,3000
Dr. Hafiz Shahzad Ashraf,Urologist,"MBBS, FCPS",Year 18,212,2500
Dr. Jamshed Rahim,Urologist,"MBBS, FCPS",Year 18,212,2500
Dr. Syed Waqar Hussain,Urologist,"MBBS, FCPS",Year 7,405,2000
Dr. M.Nasir Ibrahim,Urologist,"MBBS, FCPS, MCPS",Year 7,405,2000
Dr. Mazhar Latif,Urologist,"MBBS, FCPS",Year 18,405,3000
Prof. Dr. Arif Pervaiz,Urologist,"MBBS, MS",Year 18,1090,3000
Dr. Imtiaz Akhtar,Urologist,"MBBS, MS, Dip in Urology",Year 8,1090,4000
Dr. Jamshed Naeem,Urologist,MBBS,Year 8,1090,4000
Dr. Ghulam Murtaza,Urologist,MBBS,Year 5,260,3000
Dr. Salman,Urologist,"MBBS, FCPS",Year 5,260,3000
Dr. Syed Atif Hussain,Urologist,"MBBS, FCPS (Urology)",Year 11,260,1500
