Doc_names,Specializations,Qualifications,Experiences,Reviews,Fees
Dr. Shahina M. Azam,"Gynecologist, Obstetrician","MBCHB (Iraq), Diploma in Obstetrics (Ireland), MRCOG (UK), FRCOG (UK)",Year 5,9,2000
Dr. Nida Haseeb,"Gynecologist, Obstetrician","MBBS, FCPS",Year 7,9,1000
Dr. Saima Afridi,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 7,349,1000
Dr. Sara Ali Khan,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S. (Gynecology & Obstetrician)",Year 7,349,1000
Dr. Maria Tariq,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetrics & Gynecology)",Year 7,349,1000
Dr. Amina Aftab,"Gynecologist, Obstetrician","MBBS, MCPS (Gynaecology & Obstetrics), FCPS (Gynaecology & Obstetrics)",Year 17,37,2000
Dr. Kausar Parveen,"Gynecologist, Obstetrician","MBBS, MCPS",Year 17,37,2000
Dr. Nadeem Ahmed Arshad Qureshi,"Gynecologist, Obstetrician","MBBS, MRCOG (UK), PhD (Reproductive Endocrinology)",Year 16,37,2000
Dr. Amna Abbasi,"Gynecologist, Obstetrician","MBBS, MS (Gynecology & Obstetrician), MRCOG I",Year 16,589,2000
Prof. Dr. Bushra Kant,"Gynecologist, Obstetrician","M.B.B.S, M.C.P.S (Gynecology & Obstetrician), F.C.P.S (Gynecology & Obstetrics)",Year 12,589,2000
Dr. Zakia Asher,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetrics & Gynecology)",Year 12,589,2000
Dr. Zainab Maqsood,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S. (Gynecology & Obstetrician), M.R.C.O.G-I (UK)",Year 19,18,1200
Dr. Zaeema Khalid,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrician), MRCPI",Year 19,18,1200
Dr. Qurat ul Ain Junaid,"Gynecologist, Obstetrician","M.B.B.S.	, F.C.P.S. (Gynecology & Obstetrics), M.C.P.S.",Year 16,18,4000
Dr. Taqdees Naqaish,"Gynecologist, Fertility Consultant, Obstetrician","MBBS, MRCOG",Year 16,195,4000
Dr. Sadia Fatima,"Gynecologist, Obstetrician","MBBS, FCPS (Gynaecology & Obstetrics)",Year 10,195,3500
Dr. Saba Ayub,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology & Obstetrics)",Year 10,195,3500
Dr. Fatima Roshan,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 9,13,3000
Dr. Bushra Khan,"Gynecologist, Obstetrician","MBBS, MS (Obstetrics and Gynaecology)",Year 9,13,3000
Maj. (R) Dr. Tanees Rana,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrician), MCPS (Gynecology & Obstetrician)",Year 12,13,3000
Assoc. Prof. Dr. Ayesha Basharat,"Gynecologist, Obstetrician","MBBS, FCPS",Year 12,11,3000
Dr. Fouzia Nawaz,"Gynecologist, Obstetrician","MBBS, FCPS",Year 14,11,3000
Dr. Shaheen Ashraf Khan,"Gynecologist, Obstetrician","M.R.C.O.G (Gynecology & Obstetrician) (UK), F.R.C.O.G (UK), Fellowship in Maternal Fetal Medicine and Fetal Echocardiography (USA)",Year 14,11,3000
Dr. Sana Maryam,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 22,184,2500
Dr. Shumaila Mubashar,"Gynecologist, Obstetrician","MBBS, MCPS (Gyne), FCPS (Gyne)",Year 22,184,2500
Dr. Mehreena Zammarrud,"Gynecologist, Obstetrician","MBBS, MS (Gynecology & Obstetrics)",Year 16,184,1500
Dr. Yasmeen Ara,"Gynecologist, Obstetrician","MBBS, MS (Obstetrics and Gynaecology)",Year 16,7,1500
Dr. Sobia Saqib,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S",Year 22,7,2000
Dr. Sheeba Noreen,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics), M.C.P.S (Gynecology & Obstetrician)",Year 22,7,2000
Dr. Uzma Nayyar,"Gynecologist, Obstetrician","MBBS, FCPS",Year 8,1826,2500
Dr. Hamna Shahid,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics)",Year 8,1826,2500
Dr. Sehrana Kousar,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology & Obstetrics)",Year 15,1826,4000
Dr. Afnan Rizwan,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 15,116,4000
Dr. Shafaq Mahmood,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetrics & Gynaecology)",Year 16,116,2000
Dr. Rehana Jameel,"Gynecologist, Obstetrician","MBBS, MCPS",Year 16,116,2000
Dr. Iqra Ijaz,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology and Obstetrician)",Year 9,67,1500
Dr. Ayeza Jabbar,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology & Obstetrics)",Year 9,67,1500
Dr. Sana Junaid Abbasi,"Gynecologist, Obstetrician","M.B.B.S, M.R.C.P (Gyne)",Year 19,67,2000
Dr. Naila Kamal,"Gynecologist, Obstetrician","MBBS, FCPS",Year 19,17,2000
Dr. Zaib Un Nisa,"Gynecologist, Obstetrician","MBBS, MS (Obstetrics and Gynaecology)",Year 33,17,2500
Dr. Asma Ayaz,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics)",Year 33,17,2500
Dr. Sidra Mehmood,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 10,23,3000
Dr. Memoona Munawar,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 10,23,3000
Dr. Tehmina Kanwal,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 11,23,1500
Dr. Saadiya Shabbir Khokhar,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology & Obstetrician)",Year 11,143,1500
Dr. Rukhsana Bashir,"Gynecologist, Obstetrician","M.B.B.S, M.C.P.S",Year 25,143,1500
Dr. Rubina Zammarrud,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrician)",Year 25,143,1500
Dr. Tahira Nasreen,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Obstetrics & Gynecology)",Year 31,69,3200
Dr. Saima Yaqoob,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics)",Year 31,69,3200
Dr. Saima Muhammad Ali,"Gynecologist, Obstetrician","MBBS, FCPS",Year 6,69,1500
Dr. Noreen Mirza,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrician)",Year 6,55,1500
Dr. Sobia Nawaz Malik,Gynecologist,"MBBS (Pb), MCPS (Gynecology & Obstetrician),  FCPS (Gynecology & Obstetrician)",Year 14,55,1500
Dr. Samia Zia,Gynecologist,"MBBS, FCPS",Year 14,55,1500
Prof. Dr. Arifa Bari,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S.",Year 17,6,4000
Prof. Dr. Salma Kafeel Qureshi,"Gynecologist, Fertility Consultant, Obstetrician","MBBS, MRCOG(London)",Year 17,6,4000
Dr. Amber Jamshaid,"Gynecologist, Obstetrician","MBBS, MS (Gynecology & Obstetrics)",Year 40,6,2000
Dr. Farrah Ghalib,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetrics & Gynecology)",Year 40,17,2000
Dr. Fouzia Majeed,"Gynecologist, Obstetrician","M.B.B.S,  M.C.P.S. (Gynecology & Obstetrician),  M.S.P.H.",Year 10,17,2500
Assist. Prof. Dr. Uzma Rahman Kallue,"Gynecologist, Obstetrician","MBBS, MCPS (OBSTETRICS & GYNAECOLOGY), FCPS (OBSTETRICS & GYNAECOLOGY)",Year 10,17,2500
Dr. Mahree Sherzad,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetrician & Gynecology)",Year 30,2,1000
Dr. Mashal Kafeel Qureshi,Gynecologist,MBBS,Year 30,2,1000
Dr. Irum Suleman,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrician)",Year 35,2,3000
Dr. Tahira Batool Chaudhry,"Gynecologist, Fertility Consultant, Obstetrician","MBBS, MCPS (Gynecologist & Obstetrics), FRCOG (UK), MRCOG (UK)",Year 35,16,3000
Dr. Kaneez Fatima,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S",Year 17,16,500
Dr. Lubna Bashir,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S (Gynecology & Obstetrics)",Year 17,16,500
Dr. Fahmida Tabassum,"Gynecologist, Obstetrician","MBBS, Diploma in Women Health",Year 9,808,3500
Assist. Prof. Dr. Sadiq Jan,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology)",Year 9,808,3500
Dr. Nargis Naqi,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gyne & Obs)",Year 7,808,2000
Dr. Shafaq Ramay,"Fertility Consultant, Obstetrician, Gynecologist","MBBS, DGO, MCPS, DRCOG",Year 7,87,2000
Assist. Prof. Dr. Hadia Hina,"Gynecologist, Obstetrician","MBBS, FCPS",Year 11,87,2000
Dr. Moniza Imran,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetrics & Gynecology)",Year 11,87,2000
Dr. Robina Anees,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 16,169,3500
Assist. Prof. Dr. Munazza Ruby,"Gynecologist, Obstetrician","MBBS, MRCOG (UK)",Year 16,169,3500
Dr. Masooda Rasheed,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S.",Year 24,169,2000
Dr. Naila,"Gynecologist, Obstetrician","MBBS, FCPS",Year 24,60,2000
Dr. Rabia Hamid,"Gynecologist, Obstetrician","MBBS, MCPS (Gyne & Obs)",Year 25,60,1000
Dr. Anila Khawar Rehman,"Gynecologist, Obstetrician","MBBS, MCPS, DGO (Ireland)",Year 25,60,1000
Dr. Saniya Naheed,"Gynecologist, Obstetrician","MBBS, F.C.P.S. (Gynecology & Obstetrics)",Year 9,17,1500
Assit. Prof. Dr. Sidra Amir,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 9,17,1500
Dr. Shazia A. Khan,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics), M.C.P.S (Gynecology & Obstetrician)",Year 30,17,2500
Assoc. Prof. Dr Tahira Khalid,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology & Obstetrics)",Year 30,107,2500
Dr. Saima Ali,Gynecologist,"MBBS, MCPS (Gynaecology), MSc (Reproductive Health)",Year 11,107,2500
Dr. Lubna Saleem,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology & Obstetrics)",Year 11,107,2500
Dr. Shazia Sharaf,"Gynecologist, Obstetrician","MBBS, FCPS",Year 6,98,2500
Dr. Asma Khan,"Gynecologist, Obstetrician",M.B.B.S,Year 6,98,2500
Dr. Sonia Zaffar,"Gynecologist, Obstetrician","MBBS, FCPS",Year 8,98,2500
Dr. Fareesa Waqar,"Gynecologist, Obstetrician","MBBS , MCPS, FCPS (Obs)",Year 8,2,2500
Dr. Iffat Seema,"Gynecologist, Fertility Consultant, Obstetrician","M.B.B.S, FCPS",Year 19,2,2000
Dr. Sadaf Asma,Gynecologist,"MBBS, FCPS (Gynecology & Obstetrician)",Year 19,2,2000
Dr. Naima Javed,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S.(Gynecologist, Obstetrician)",Year 30,74,1500
Dr. Arfa Tabassum,Gynecologist,"MBBS, FCPS",Year 30,74,1500
Dr. Zobia Mushtaq,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S.",Year 27,74,2000
Maj. Dr. Humaira Hafeez,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S, M.C.P.S",Year 27,51,2000
Dr. Naveed Iqbal,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrician)",Year 10,51,1500
Dr. Naila Hina Qazi,"Gynecologist, Obstetrician","MBBS, FCPS",Year 10,51,1500
Dr. Bibi Tahira,"Gynecologist, Obstetrician","MBBS, SDGO",Year 8,3,2000
Dr. Aaseya Hanif Baig,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology & Obstetrician)",Year 8,3,2000
Dr. Tahira Manzoor,"Gynecologist, Obstetrician","MBBS, FCPS",Year 15,3,1500
Dr. Sadaf Shahid,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 15,5,1500
Dr. Iram Farman,Gynecologist,"MBBS, Dip In Gynae",Year 45,5,2500
Dr. Shahida Jamil Afridi,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S.(Gynecologist, Obstetrician)",Year 45,5,2500
Dr. Narjis Mehdi,"Gynecologist, Obstetrician","MBBS, FCPS (Gynaecology & Obstetrics)",Year 17,14,2500
Dr. Nadia Maqbool,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics), MCPS (Gynecology & Obstetrics), MRCOG (UK)",Year 17,14,2500
Dr. Sadaf Zahra,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 13,14,3000
Dr. Humaira Masood,"Gynecologist, Obstetrician","MBBS, FCPS",Year 13,8,3000
Dr. Maria Habib,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrician)",Year 30,8,1200
Dr. Shagufta Parveen,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S.",Year 30,8,1200
Dr. Farhat Arshad,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetrician & Gynecologist), MCPS (Obstetrician & Gynecologist)",Year 15,4127,1500
Dr. Rukhsana Shaheen Afzal,"Gynecologist, Obstetrician","MBBS, FCPS",Year 15,4127,1500
Dr. Shafaq,Gynecologist,MBBS,Year 27,4127,3500
Dr. Sajida,Gynecologist,MBBS,Year 27,2,3500
Dr. Riffat Shahid,"Gynecologist, Obstetrician","MBBS, FCPS",Year 20,2,2000
Dr. Azra Batool,Gynecologist,"MBBS, FCPS",Year 20,2,2000
Dr. Ghazala Mahmud,"Obstetrician, Gynecologist","MBBS, FCPS (Gynecology)",Year 25,1,2500
Dr. Huma Tasleem,"Gynecologist, Obstetrician","MBBS, MCPS, FCPS",Year 25,1,2500
Dr. Khurshid Shabbir Raja,"Gynecologist, Obstetrician","MBBS, FRCOG (UK),DRCOG",Year 18,1,1500
Dr. Mah Parveen Qazi,Gynecologist,"MBBS, FRCOG (UK),DRCOG, MRCOG",Year 18,14,1500
Dr. Naheed Sultana,Gynecologist,"MBBS, DGO, MCPS",Year 23,14,2500
Prof Dr. Saad Rana,"Fertility Consultant, Gynecologist","MBBS, FRCS, MRCOG, FRCOG",Year 23,14,2500
Dr. Salma Kayani,"Obstetrician, Gynecologist","MBBS, MCPS (Gyne), DGO",Year 15,70,2500
Prof Dr. Shamsa Rizwan,Gynecologist,"MCPS, DLSHTM, DGO, FCPS,MBBS",Year 15,70,2500
Dr. Shazia Fakhar,Gynecologist,"MBBS, DGO, FCPS",Year 20,70,2000
Dr. Yasmeen Mehmooda,"Obstetrician, Gynecologist","MBBS, MRCOG (Gynecology)",Year 20,4,2000
Dr. Naushin Farooq,"Gynecologist, Obstetrician","MBBS, MCPS (Gyne), FCPS (Gyne)",Year 16,4,1500
Dr. Shaheen Ashraf,"Gynecologist, Obstetrician",MBBS,Year 16,4,1500
Dr. Asma Kamal,"Gynecologist, Obstetrician","MBBS, MCPS, FCPS",Year 25,8,2500
Dr. Marzia Hafeez Alvi,"Gynecologist, Obstetrician","MBBS, MCPS",Year 25,8,2500
Dr. Naila Israr,"Gynecologist, Obstetrician","MBBS, MCPS, FCPS, MRCOG (I)",Year 7,8,2500
Dr. Ammara Kashif,"Gynecologist, Obstetrician","MBBS, MCPS, FCPS",Year 7,400,2500
Dr. Farzana Javed,"Gynecologist, Obstetrician","MBBS, MCPS, MD (USA)",Year 26,400,1200
Dr. Nasia Tabassum,"Gynecologist, Obstetrician","MBBS, MCPS",Year 26,400,1200
Dr. Taliya Imran,"Gynecologist, Obstetrician","MBBS, FCPS, DIGO",Year 8,9,1500
Dr. Shahida Farrukh,"Gynecologist, Obstetrician",MBBS,Year 8,9,1500
Dr. Nasreen Rehmat Ullah,"Gynecologist, Obstetrician",MBBS,Year 5,9,3000
Dr. Ambreen Shabbir,"Gynecologist, Obstetrician",MBBS,Year 5,96,3000
Dr. Nabila Iram,"Gynecologist, Obstetrician",FCPS,Year 12,96,2500
Dr. Farhat Perveen,"Gynecologist, Obstetrician",FCPS,Year 12,96,2500
Dr. Nabila Salman,"Gynecologist, Obstetrician",FCPS,Year 8,140,1000
Dr. Shahnaz Nawaz,"Obstetrician, Gynecologist","MBBS, FRCOG",Year 8,140,1000
Dr. Nasim Ashraf,"Gynecologist, Obstetrician, Fertility Consultant","MBBS, MRCOG, ART. (Nottingham, UK)",Year 25,140,1000
Dr. Iffat Khurshid,"Obstetrician, Gynecologist","MBBS, FCPS",Year 25,8,1000
Dr. Ghazala Shabnam Raja,"Gynecologist, Obstetrician",MBBS,Year 14,8,2500
Dr. Fauzia Imtiaz,"Gynecologist, Obstetrician",MBBS,Year 14,8,2500
Dr. Farhat Afzal,"Gynecologist, Obstetrician",MBBS,Year 10,305,3000
Dr. Aisha Basharat,"Gynecologist, Obstetrician",,Year 10,305,3000
Dr. Anbrin Salick,Gynecologist,"MBBS, FCPS",Year 14,305,1500
Dr. Ayesha Snover,Gynecologist,"MBBS, FCPS, MCPS",Year 14,331,1500
Dr. Faiz Un Nisa,Gynecologist,"MBBS, FCPS, MCPS",Year 22,331,3000
Dr. Riffat Shaheen,"Gynecologist, Obstetrician","MBBS, FCPS, MCPS, FRCOG, MRCOG",Year 22,331,3000
Dr. Zahida Zia,Gynecologist,"MBBS, FCPS (Obstetrics and Gynaecology)",Year 20,5,3000
Dr. Shagufta Yasmeen,Gynecologist,"MBBS, FCPS",Year 20,5,3000
Dr. Sundas Tahir Warraich,Gynecologist,MBBS,Year 15,5,3000
Dr. Farhat Batool,Gynecologist,"MBBS, FCPS",Year 15,13,3000
Dr. Mumtaz Jahan,Gynecologist,"MBBS, FCPS",Year 8,13,1500
Dr. Shanaz Nawaz,"Gynecologist, Obstetrician","MBBS, MRCOG, FRCOG",Year 8,13,1500
Dr. Ambrin Gul Shamas,"Gynecologist, Obstetrician","CCT, RCOG/RCR",Year 15,17,1500
Dr. Nabia Tariq,"Gynecologist, Obstetrician","MBBS,FCPS",Year 15,17,1500
Dr. Saadia Naveed,"Gynecologist, Obstetrician","M.B.B.S., M.C.P.S",Year 2,17,4800
