Doc_names,Specializations,Qualifications,Experiences,Reviews,Fees
Assist. Prof. Dr. Salma Khalid,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetric & Gynecology)",Year 40,19,4000
Dr. Maria Azad,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology)",Year 40,2322,4000
Dr. Sania Awais,"Gynecologist, Obstetrician","MBBS, FCPS, MRCOG 1, BSC",Year 9,2322,2000
Dr. Sumbal Afzal,"Gynecologist, Obstetrician","M.B.B.S, M.C.P.S., M.R.C.O.G-I",Year 9,2322,2000
Prof. Dr. Huma Tahseen,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetric & Gynecology)",Year 15,5,1500
Prof. Dr. Khadija Khan,"Gynecologist, Gynecological Oncologist, Aesthetic Gynecologist, Fertility Consultant, Obstetrician, Laparoscopic Surgeon","MBBS, FCPS (Gynecology & Obstetrics), Diploma in IVF",Year 15,5,1500
Dr. Naghma Aftab,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 15,5,2500
Assist. Prof. Dr. Hina Akhtar,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetrics & Gynaecology), MRCOG (UK)",Year 15,4,2500
Dr. Shadia Shah,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 20,4,2000
Dr. Shazia Jamil,"Gynecologist, Obstetrician","M.B.B.S., M.R.C.O.G (UK), F.R.C.O.G (UK)",Year 20,4,2000
Dr. Humaira Sultana Niazi,"Gynecologist, Aesthetic Gynecologist, Fertility Consultant, Endoscopic Surgeon, Obstetrician, Laparoscopic Surgeon","MRCOG (Membership of the Royal College of Obstetricians and Gynaecologists), MRCPI (Membership of the Royal College of Physicians of Ireland), M.B.B.S, MCPS",Year 34,442,2500
Dr. Rehan Bin Asif,"Gynecologist, Obstetrician","MBBS, MD, FACOG, MBA, Diplomate of American Board of Obstetrics and Gynecology",Year 34,442,2500
Prof. Dr. Asma Gul,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrician)",Year 30,442,2500
Dr. Hina Ahmad,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrician), MRCP (Ireland)",Year 30,149,2500
Dr. Abeera Ali,"Gynecologist, Aesthetic Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 11,149,2500
Assist. Prof. Dr. Rubina Farrukh,"Gynecologist, Fertility Consultant, Obstetrician, Laparoscopic Surgeon","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 11,149,2500
Dr. Qurrat Ul Ain,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 20,103,3000
Prof. Dr. Kishwar Naheed,"Gynecologist, Obstetrician","M.B.B.S, M.C.P.S, F.C.P.S (Gyne)",Year 20,103,3000
Dr. Sadia Sarwar,"Gynecologist, Obstetrician","MBBS, MCPS, MRCOG (UK), FRCOG (UK)",Year 11,103,3000
Assist. Prof. Dr. Sadia Ahmad,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics), CMT, MHPE, Fellowship in Aesthetic Genital Surgery & Cosmetic Gynaecology",Year 11,361,3000
Dr. Kiran Usman,"Gynecologist, Fertility Consultant, Obstetrician","MBBS, FCPS, MRCOG 1(UK), Master in Laparoscopy(UK) , Master in IVF and Reproductive Medicine (Germany)",Year 18,361,3000
Assoc. Prof. Dr. Maria Imran,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynae & Obs.)",Year 18,361,3000
Dr. Saima Ali,"Gynecologist, Obstetrician","MBBS, MRCOG1,  FCPS ( Obstetrics and Gynaecology)",Year 18,293,2500
Prof. Dr. Sara Ejaz,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics)",Year 18,293,2500
Assist. Prof. Dr. Natasha Usman,"Gynecologist, Obstetrician","MBBS, FCPS, MRCOG(UK)",Year 16,293,2500
Prof. Dr. Alia Bashir,"Gynecologist, Aesthetic Gynecologist, Fertility Consultant, Endoscopic Surgeon, Obstetrician","MBBS, DGO, MCPS, FCPS, CMT, MHPE(ME), FLS (Laparoscopy) SAGES USA, Diploma in Endoscopic Surgery Keil Germany, Fellowship in Aesthetic Genital Surgery and Cosmetic Gynaecology ( ISAGSS & ASCOP USA)",Year 16,3,2500
Prof. Dr. Waseem Talib,"Gynecologist, Male Sexual Health Specialist, Fertility Consultant, Obstetrician, Sexologist","M.B.B.S, F.C.P.S (Gynecology & Obstetrics), M.C.P.S (Gynecology & Obstetrics), FIMSA",Year 23,3,1000
Dr. Muniba Tahir,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 23,3,1000
Dr. Maliha Amjad,"Obstetrician, Gynecologist","MBBS, FCPS (Gynecology & Obstetrics), BCRM, Advanced Diploma in Reproductive Medicine, Postgraduate Diploma in infertility and IVF (Germany), Master certification in Hysteroscopy (Germany), Master Certification in Ultasonography , CHPE",Year 15,1002,3000
Dr. Zobia Jawad,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S., Masters in Sexual and Reproductive Medicine (Infertility), CMT",Year 15,1002,3000
Prof. Dr. Fouzia Yasmeen,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics), CHPE",Year 8,1002,3000
Dr. Samra Mobeen,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 8,1184,3000
Dr. Hira Khurram,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 18,1184,4000
Dr. Shehla Noreen,"Gynecologist, Fertility Consultant","MBBS, MRCOG, Diploma in Infertility and IVF",Year 18,1184,4000
Dr. Nagina Bibi,"Gynecologist, Obstetrician","MBBS, FCPS, MCPS, MRCP (Ireland), DGO",Year 20,1350,4000
Prof. Dr. Shaista Waheed,"Gynecologist, Obstetrician","MBBS, F.C.P.S. (Gynecology & Obstetrician), MME, Diploma in IVF and Reproductive Medicine",Year 20,1350,4000
Dr. Shaheen Gul,"Gynecologist, Obstetrician","MRCOG (UK), MBBS",Year 15,1350,4000
Assist. Prof. Dr. Quratulain Shahzad,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 15,1889,4000
Dr. Sumaira Shaheen,"Gynecologist, Obstetrician","M.D, F.C.P.S (Gynecology & Obstetrics), Certified Laparoscopic Surgeon (Pak), Certified in Hysteroscopic Procedures (Pak), Member European Society of Human",Year 37,1889,4000
Dr. Shysta Shaukat,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics), CHPE",Year 37,1889,4000
Dr. Misbah Malik,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrician), MCPS (Gynecology & Obstetrician), Dip. in Aesthetic Gynaecology",Year 20,178,3500
Dr. Sobia Zafar,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S.(Obstetrics and Gynaecology), LMCC",Year 20,178,3500
Dr. Maliha Masih Uddin,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology & Obstetric)",Year 10,178,3500
Prof. Dr. Jamshid Feroze,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 10,11,3500
Dr. Komal Iftikhar Tarar,"Gynecologist, Obstetrician","M.B.B.S, M.R.C.O.G(1) UK, F.C.P.S (Gyne)",Year 16,11,3500
Dr. Aatiqa Imtiaz,"Obstetrician, Gynecologist","M.B.B.S., F.C.P.S.",Year 16,11,3500
Dr. Nawal Muazam,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetrics and Gynaecology)",Year 10,4,4000
Dr. Shabnam Muhammad Ali,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics)",Year 10,4,4000
Assoc. Prof. Dr. Saima Jabeen,"Gynecologist, Fertility Consultant, Obstetrician","MBBS, FCPS, CMT",Year 22,4,1500
Dr. Nida Khurshid,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 22,27,1500
Dr. Sadia Aman,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics)",Year 23,27,2000
Prof. Dr. Kokab Zia,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology and Obstetrics), FCPS (Gynecology and Obstetrics)",Year 23,27,2000
Dr. Mudasara Rafi,"Gynecologist, Obstetrician","MBBS, MCPS (Gyne & Obs)",Year 22,42,2500
Prof. Dr. Nadia Zahid,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics)",Year 22,42,2500
Dr. Naheed Waris,"Gynecologist, Obstetrician","M.B.B.S, CART In Fertility & Endocrinology, F.C.P.S. (Gynecology & Obstetrics)",Year 15,42,3000
Assist. Prof. Dr. Farrukh Naheed Afzal,"Gynecologist, Obstetrician","M.B.B.S , F.C.P.S",Year 15,7,3000
Dr. Munazzah Nisar,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 18,7,2000
Assoc. Prof. Dr. Kiran Iqbal,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 18,7,2000
Dr. Maryam Shahid,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S.",Year 18,100,1500
Dr. Ayesha Arjmand,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 18,100,1500
Dr. Warda Arshad,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrician)",Year 30,100,2500
Dr. Wajeeha Sajjad,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S.",Year 30,15,2500
Dr. Beenish Umer,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S. (Gynecology & Obstetrician)",Year 10,15,2500
Dr. Amreen Khan,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology & Obstetrician)",Year 10,15,2500
Dr. Sundes Jawaid Khokhar,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 33,1941,2000
Prof. Dr. Samra Ismat,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 33,1941,2000
Prof. Dr. Amna Ahsan,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics), MRCOG (UK)",Year 23,1941,2000
Dr. Zunaira Ali Ahmed,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 23,4098,2000
Dr. Tahmina Sardar,"Gynecologist, Obstetrician","M.B.B.S., M.C.P.S.(Gynecology & Obstetrics), F.C.P.S. (Gynecology & Obstetrics)",Year 10,4098,4000
Dr. Madeeha Asad,"Gynecologist, Regenerative Medicine, Aesthetic Physician, Fertility Consultant, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics), Fertility Consultant & IVF Specialist , American Diplomat Facial Aesthetics, American Diplomat Aesthetics Gynae, Board Certified Gynae & Obs Surgeon, International Certification in Stem Cells Clinical Application",Year 10,4098,4000
Prof. Dr. Nadia Khurshid Ahmed,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S. (Gynecology & Obstetrician), M.C.P.S",Year 11,458,2000
Prof. Dr. Saima Javed,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 11,458,2000
Dr. Fozia Ali,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics)",Year 18,458,3500
Dr. Asia Farhan,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Obstetric & Gynecology)",Year 18,561,3500
Dr. Safdar Iqbal,"Gynecologist, Obstetrician","M.B.B.S.	, MS (Gynecology & Obstetrics)",Year 20,561,3500
Dr. Rukhsana Babar,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gyne & Obs)",Year 20,561,3500
Dr. Hina Zafar,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 10,1204,2000
Dr. Neelam Maqsood,"Gynecologist, Obstetrician","MBBS, MCPS (Obstetrics & Gynecology)",Year 10,1204,2000
Dr. Sarah Hafeez,"Obstetrician, Gynecologist","M.B.B.S., F.C.P.S. (Obstetrics and Gynaecology)",Year 10,1204,3500
Prof. Col. Dr. Nazli Hameed,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics), MRCOG (UK), Diploma in Minimal Access Surgery ( France)  , FRCOG, Clinical Fellowship in Urogynaecology and Minimal Access Surgery (NVH SG, MHPE (UHS)",Year 10,860,3500
Dr. Rubab Khalid,"Gynecologist, Obstetrician","M.B.B.S., MME (Masters in Medical Education), M.C.P.S, MRCOG(UK)",Year 7,860,2000
Dr. Sadaf Ghulam Rasul,"Gynecologist, Obstetrician","M.B.B.S., MS (Gynecology and Obstetrics)",Year 7,860,2000
Dr. Arooj Fatima,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 27,359,3000
Dr. Mehjabeen,"Gynecologist, Obstetrician","M.B.B.S, M.C.P.S (Gynecology & Obstetrician)",Year 27,359,3000
Dr. Aysha Cheema,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetric & Gynecology)",Year 25,359,2500
Dr. Rufia Awais,"Gynecologist, Obstetrician","MBBS, Dip in Gynecology & Obstetrics",Year 25,527,2500
Dr. Areej Azhar Siddiqui,"Gynecologist, Obstetrician","MBBS, FCPS",Year 15,527,3000
Dr. Farrah Rashid Tariq,"Gynecologist, Obstetrician","M.B.B.S., Dip. in Gynecology & Obstetrician, M.R.C.O.G (Gynecology & Obstetrician)",Year 15,527,3000
Assoc. Prof. Samar Hussain,"Gynecologist, Obstetrician","MBBS, CHPE, FCPS (Gynecology & Obstetrics)",Year 15,100,2000
Dr. Uzma Haider,"Gynecologist, Aesthetic Gynecologist, Cosmetologist","M.B.B.S., F.C.P.S., Laser specialization, MCCEE (Canada)",Year 15,100,2000
Assist. Prof. Dr. Rabia Tahir Hashmi,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S. (Gynecology)",Year 16,100,3000
Dr. Kiran Khalid,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology & Obstetrician), MRCOG I",Year 16,275,3000
Dr. Alina Bashir,"Gynecologist, Obstetrician","MBBS, MCPS, MRCP",Year 20,275,3000
Dr. Fauzia Naureen,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 20,275,3000
Dr. Ayesha Iqbal,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 18,56,3000
Dr. Beenish Saleem,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 18,56,3000
Dr. Anum Asad,"Gynecologist, Obstetrician","MBBS, FCPS (Genecology & Obstetrics)",Year 14,56,2000
Dr. Nazish Zareen,"Gynecologist, Obstetrician","MBBS, DGO, FCPS (Genecology & Obstetrics)",Year 14,623,2000
Dr. Ammara Mukhtar,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Obstetric & Gynecology)",Year 10,623,3000
Dr. Rukhsana Manzoor Zafar,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology), FRCOG, MRCOG",Year 10,623,3000
Dr. Ramsha Aftab,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 33,554,3500
Assist. Prof. Dr. Adila Ashraf,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 33,554,3500
Assist. Prof. Dr. Tehmina Noor,"Gynecologist, Fertility Consultant, Obstetrician","MBBS, FCPS (Ob/Gyn), MCPS, CMT, CART",Year 10,554,3000
Prof. Dr. Ayesha Wasif,"Gynecologist, Obstetrician","M.B.B.S (Gold Medal), F.C.P.S. (Gynecology & Obstetrician)",Year 10,73,3000
Lt. Col. (R) Dr. Shazia Shakeel,"Gynecologist, Obstetrician","MBBS, MCPS, DGO Gynae / Obs  (AFPGMI), CHPE( NUMS), Fellowship Aesthetics Diploma",Year 12,73,5000
Dr. Aisha Mujaded,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics), MRCOG",Year 12,73,5000
Prof. Dr. Ambreen Akhtar,"Gynecologist, Obstetrician","M.B.B.S, M.C.P.S (Gynae& Obs), F.C.P.S (Gynae& Obs)",Year 11,1299,5000
Dr. Maria Maqsood,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics)",Year 11,1299,5000
Dr. Nuzhat Fatima,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 15,1299,2000
Dr. Sodat Alqai,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 15,390,2000
Dr. Ayesha Mohsin,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 16,390,2000
Assist. Prof. Dr. Naheed Rana,"Gynecologist, Obstetrician","MBBS, DFFP, MRCOG, FRCOG",Year 16,390,2000
Dr. Sarah Riaz,"Gynecologist, Obstetrician","MBBS, FCPS (Genecology and Obstetrics)",Year 8,216,1500
Dr. Tehmina Allah Buksh,"Gynecologist, Obstetrician","MBBS, Dip In Obstetrics & Gynaecology",Year 8,216,1500
Dr. Affaf Khaleel,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology and Obstetrics)",Year 10,216,1500
Dr. Mehreen Asad,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 10,11,1500
Assist. Prof. Dr. Zill E Huma,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 32,11,2000
Dr. Naira Siddiqi,"Gynecologist, Obstetrician","MBBS, DGO, FCPS (Gynecology & Obstetrics)",Year 32,11,2000
Dr. Shahida Sheikh,"Gynecologist, Obstetrician","MBBS, FRCOG",Year 15,93,2000
Dr. Samia Baig,"Gynecologist, Obstetrician","MBBS, MCPS, MRCOG (UK), FACOG",Year 15,93,2000
Dr. Shazia Zulfiqar,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology & Obstetrics)",Year 25,93,1500
Dr. Tehreema Khan,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 25,1,1500
Dr. Attiya Farhan,"Gynecologist, Obstetrician","MBBS, FCPS, MCPS, MRCOG (UK)",Year 16,1,2000
Dr. Saba Shafique,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics)",Year 16,1,2000
Dr. Sidra Qamar,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 20,876,3000
Prof. Madeeha Rashid,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecologist & Obstetrician), CHPE (Certificate in Health Professions Education), MME, MS (Medical Education)",Year 20,876,3000
Dr. Rabia Nosheen,"Gynecologist, Obstetrician","MRCOGII (UK), F.C.P.S. (Gynecologist, Obstetrician), M.B.B.S.",Year 12,876,1300
Dr. Mawrah Mughal,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetrics & Gynaecology)",Year 12,332,1300
Dr. Ammara Naveed,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecologist, Obstetrician)",Year 20,332,1500
Dr. Maria Ahmad,"Gynecologist, Fertility Consultant, Obstetrician","MRCOG (UK), DFSRH (UK), MBBS, CCT (UK)",Year 20,332,1500
Assist. Prof. Dr. Samia Sajid,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S",Year 10,261,3000
Dr. Mariam Khalid,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 10,261,3000
Dr. Sara Khan Niazi,"Gynecologist, Obstetrician","MBBS, FCPS Obstetrics & Gynaecology",Year 13,261,3500
Dr. Sajida Yasmeen,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology and Obstetrics), FCPS (Gynecology and Obstetrics)",Year 13,25,3500
Dr. Umaira Anjum,"Family Physician, Internal Medicine Specialist, Gynecologist","MBBS, Diploma in Obstetrics and Women's Health, MCPS (Family Medicine), MRCGP",Year 9,25,3000
Assist. Prof. Dr. Bushra Sayyed,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 9,25,3000
Dr. Gulnaz Bajwa,"Gynecologist, Obstetrician","MD, MCPS (Gynecology and Obstetrics)",Year 12,920,3500
Assoc. Prof. Dr. Zahra Safdar,"Gynecologist, Obstetrician","MBBS, FCPS, MRCOG, FACOG (USA)",Year 12,920,3500
Assist. Prof. Dr. Wajiha Rizwan,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology)",Year 10,920,3500
Assist. Prof. Dr. Tayyaba Iqbal,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S.",Year 10,413,3500
Dr. Salsabeel Zia,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology and Obstetrics), Diploma in Gynaecology & Obstetrics (DGO)",Year 10,413,3500
Dr. Momina Samina Asaf,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology & Obstetrics), FCPS (Gynecology & Obstetrics)",Year 10,413,3500
Dr. Uzma Naz,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Obstetrics & Gynaecology)",Year 13,977,3500
Dr. Mariam Iqbal,"Gynecologist, Aesthetic Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrician), MHPE, Master Certification in Hysteroscopy (Germany), Postgraduate Diploma in IVF and Reproductive Medicine",Year 13,977,3500
Prof. Dr. Samina Rasheed,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gyne), M.C.P.S",Year 20,977,2500
Dr. Rubba Batool,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 20,51,2500
Dr. Maham Ashraf,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology & Obstetrics)",Year 20,51,3000
Dr. Memoona Faiyaz,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 20,51,3000
Dr. Ayesha Azam Khan,"Gynecologist, Fertility Consultant, Obstetrician","M.B.B.S., F.C.P.S (Gynecologist, Obstetrician), IVF",Year 11,7,3000
Dr. Amna Asif,"Gynecologist, Obstetrician","F.C.P.S, M.B.B.S.",Year 11,7,3000
Dr. Kanwal Nosheen,"Gynecologist, Obstetrician","MBBS, MCPS, GMC (London), FCPS, F.MIGS, CHPE(Pk)",Year 18,7,3500
Dr. Fariha Arshad,"Gynecologist, Obstetrician",MBBS,Year 18,15,3500
Dr. Sabahat Khan,"Gynecologist, Fertility Consultant, Obstetrician","M.B.B.S, D.G.O, F.C.P.S, C.H.P.E",Year 17,15,3000
Dr. Mehvish Gul,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Obstetrics & Gynaecology)",Year 17,15,3000
Assist. Prof. Dr. Rizwana Tariq,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology and Obstetrics)",Year 20,40,3500
Dr. Shaherzad Sohail,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S., M.C.P.S, M.H.P.E",Year 20,40,3500
Dr. Nayab Zahra,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 20,40,4000
Dr. Amna Mukhtar,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrician)",Year 20,147,4000
Assoc. Prof. Dr. Saima Zaki,"Gynecologist, Obstetrician","M.B.B.S, M.C.P.S, F.C.P.S (Gyne & Obs)",Year 10,147,2000
Dr. Fizza Masood,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 10,147,2000
Dr. Naila Mubashar,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology and Obstetrics)",Year 15,10,2500
Dr. Wajeeha Fatima,"Obstetrician, Gynecologist","M.B.B.S., F.C.P.S.",Year 15,10,2500
Dr. Nagina Rashid,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 30,10,2500
Dr. Shazia Tazion,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetrics & Gynecology)",Year 30,61,2500
Prof. Dr. Arif Tajammul,"Gynecologist, Fertility Consultant, Obstetrician","M.B.B.S, (MD), F.R.C.O.G, F.A.C.O.G",Year 24,61,2000
Dr. Hania Zafar,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Obsterics)",Year 24,61,2000
Dr. Sidra Haq,"Gynecologist, Obstetrician","MBBS, FCPS Obstetrics & Gynaecology",Year 20,91,3000
Dr. Mehwish Rehman Raja,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology and Obstetrics)",Year 20,91,3000
Dr. Nida Hameed,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Obstetric & Gynecology)",Year 10,91,2500
Dr. Fauzia Anjum,"Gynecologist, Fertility Consultant, Obstetrician","MBBS, FCPS (Gynecology &Obstetrics), Bachelor of Endoscopy, IRCAD (France), Dip. in Endoscopy (Germany)",Year 10,17,2500
Dr. Huma Arshad,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics)",Year 10,17,4000
Dr. Aafreen Farid,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology and Obstetrics)",Year 10,17,4000
Dr. Shagufta Khizar,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 35,57,4000
Prof. Dr. Nabeela Shami,"Gynecologist, Gynecological Oncologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology & Obstetrics), FIMSA (India), AD-HPE (AKU),  MHPE (Holland)",Year 35,57,4000
